"h48.45vsD","h48.30vsD and h48.45vsD","h24.45vsD and h48.45vsD","h24.30vsD and h48.45vsD","h8.45vsD and h48.45vsD","h8.30vsD and h48.45vsD","h48.45vsD and h48.30vsD","h48.30vsD","h24.45vsD and h48.30vsD","h24.30vsD and h48.30vsD","h8.45vsD and h48.30vsD","h8.30vsD and h48.30vsD","h48.45vsD and h24.45vsD","h48.30vsD and h24.45vsD","h24.45vsD","h24.30vsD and h24.45vsD","h8.45vsD and h24.45vsD","h8.30vsD and h24.45vsD","h48.45vsD and h24.30vsD","h48.30vsD and h24.30vsD","h24.45vsD and h24.30vsD","h24.30vsD","h8.45vsD and h24.30vsD","h8.30vsD and h24.30vsD","h48.45vsD and h8.45vsD","h48.30vsD and h8.45vsD","h24.45vsD and h8.45vsD","h24.30vsD and h8.45vsD","h8.45vsD","h8.30vsD and h8.45vsD","h48.45vsD and h8.30vsD","h48.30vsD and h8.30vsD","h24.45vsD and h8.30vsD","h24.30vsD and h8.30vsD","h8.45vsD and h8.30vsD","h8.30vsD","h48.30vsD but not h48.45vsD","h24.45vsD but not h48.45vsD","h24.30vsD but not h48.45vsD","h8.45vsD but not h48.45vsD","h8.30vsD but not h48.45vsD","h48.45vsD but not h48.30vsD","h24.45vsD but not h48.30vsD","h24.30vsD but not h48.30vsD","h8.45vsD but not h48.30vsD","h8.30vsD but not h48.30vsD","h48.45vsD but not h24.45vsD","h48.30vsD but not h24.45vsD","h24.30vsD but not h24.45vsD","h8.45vsD but not h24.45vsD","h8.30vsD but not h24.45vsD","h48.45vsD but not h24.30vsD","h48.30vsD but not h24.30vsD","h24.45vsD but not h24.30vsD","h8.45vsD but not h24.30vsD","h8.30vsD but not h24.30vsD","h48.45vsD but not h8.45vsD","h48.30vsD but not h8.45vsD","h24.45vsD but not h8.45vsD","h24.30vsD but not h8.45vsD","h8.30vsD but not h8.45vsD","h48.45vsD but not h8.30vsD","h48.30vsD but not h8.30vsD","h24.45vsD but not h8.30vsD","h24.30vsD but not h8.30vsD","h8.45vsD but not h8.30vsD"
"SH3BP2","","","","","","","","","","","","","","TINAGL1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SNHG17","","TUBB4B","","","SORD","","USP53","","","SHANK3","","TMBIM1","",""
"SH3BP5-AS1","","","","","","","","","","","","","","TJAP1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SNHG7","","TULP4","","","SOSTDC1","","UTRN","","","SHC2","","TMCC2","",""
"SH3BP5L","","","","","","","","","","","","","","TJP2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SNPH","","TUT4","","","SOX17","","UVRAG","","","SHCBP1","","TMCO1","",""
"SH3D19","","","","","","","","","","","","","","TK1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SNRNP25","","TWNK","","","SOX2","","VAMP2","","","SHFL","","TMEM100","",""
"SH3D21","","","","","","","","","","","","","","TLCD2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SNRNP35","","TWSG1","","","SPA17","","VANGL1","","","SHISA5","","TMEM129","",""
"SH3RF1","","","","","","","","","","","","","","TLK2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SNRNP70","","TXLNG","","","SPAG1","","VASP","","","SHISA9","","TMEM139","",""
"SH3RF2","","","","","","","","","","","","","","TLX3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SNRPA","","TXNDC11","","","SPAG5","","VAV3","","","SHLD2","","TMEM147","",""
"SHANK3","","","","","","","","","","","","","","TM2D2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SNRPA1","","TXNDC12","","","SPAG9","","VBP1","","","SHMT1","","TMEM14A","",""
"SHC2","","","","","","","","","","","","","","TMBIM1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SNRPB","","TXNDC15","","","SPATA2","","VDAC3","","","SHMT2","","TMEM14C","",""
"SHCBP1","","","","","","","","","","","","","","TMCC2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SNRPB2","","TXNDC9","","","SPATS2L","","VDR","","","SHQ1","","TMEM154","",""
"SHFL","","","","","","","","","","","","","","TMCO1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SNRPD1","","TXNL4B","","","SPC24","","VGF","","","SIAH2","","TMEM167A","",""
"SHISA5","","","","","","","","","","","","","","TMEM100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SNRPD2","","TXNRD1","","","SPC25","","VHL","","","SIGIRR","","TMEM167B","",""
"SHISA9","","","","","","","","","","","","","","TMEM129","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SNRPD3","","TYMP","","","SPCS3","","VIPAS39","","","SIGMAR1","","TMEM170B","",""
"SHLD2","","","","","","","","","","","","","","TMEM139","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SNRPF","","TYMS","","","SPDL1","","VIRMA","","","SIKE1","","TMEM18","",""
"SHMT1","","","","","","","","","","","","","","TMEM147","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SNRPG","","TYW5","","","SPECC1L","","VOPP1","","","SIM1","","TMEM182","",""
"SHMT2","","","","","","","","","","","","","","TMEM14A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SNTB1","","U2AF2","","","SPIN3","","VPS18","","","SIM2","","TMEM184A","",""
"SHQ1","","","","","","","","","","","","","","TMEM14C","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SNTB2","","UAP1","","","SPIRE1","","VPS37A","","","SIPA1L1","","TMEM19","",""
"SIAH2","","","","","","","","","","","","","","TMEM154","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SNW1","","UBA1","","","SPIRE2","","VPS37C","","","SIRT2","","TMEM209","",""
"SIGIRR","","","","","","","","","","","","","","TMEM167A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SNX12","","UBAC1","","","SPPL2B","","VRK1","","","SIVA1","","TMEM216","",""
"SIGMAR1","","","","","","","","","","","","","","TMEM167B","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SNX15","","UBALD2","","","SPSB1","","VTA1","","","SKA3","","TMEM230","",""
"SIKE1","","","","","","","","","","","","","","TMEM170B","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SNX19","","UBAP2L","","","SPTLC3","","WAC","","","SKAP2","","TMEM243","",""
"SIM1","","","","","","","","","","","","","","TMEM18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SNX2","","UBE2C","","","SPTSSB","","WARS2-AS1","","","SKIDA1","","TMEM267","",""
"SIM2","","","","","","","","","","","","","","TMEM182","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SNX3","","UBE2E1","","","SQLE","","WASF2","","","SKP1","","TMEM268","",""
"SIPA1L1","","","","","","","","","","","","","","TMEM184A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SNX30","","UBE2L3","","","SQSTM1","","WASH2P","","","SLC11A2","","TMEM39B","",""
"SIRT2","","","","","","","","","","","","","","TMEM19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SNX6","","UBE2N","","","SRC","","WASH8P","","","SLC12A7","","TMEM43","",""
"SIVA1","","","","","","","","","","","","","","TMEM209","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SOAT2","","UBE2T","","","SRCIN1","","WDFY2","","","SLC12A8","","TMEM45B","",""
"SKA3","","","","","","","","","","","","","","TMEM216","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SOCS2","","UBE2V2","","","SRGAP1","","WDHD1","","","SLC16A1-AS1","","TMEM50B","",""
"SKAP2","","","","","","","","","","","","","","TMEM230","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SOCS3","","UBFD1","","","SRI","","WDR41","","","SLC16A6","","TMEM52","",""
"SKIDA1","","","","","","","","","","","","","","TMEM243","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SOCS3-DT","","UBQLN2","","","SRP14-DT","","WDR45","","","SLC18B1","","TMEM60","",""
"SKP1","","","","","","","","","","","","","","TMEM267","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SOCS4","","UBR3","","","SRSF1","","WDR45B","","","SLC1A4","","TMEM63A","",""
"SLC11A2","","","","","","","","","","","","","","TMEM268","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SOCS7","","UBTD1","","","SRSF10","","WDR6","","","SLC1A5","","TMEM68","",""
"SLC12A7","","","","","","","","","","","","","","TMEM39B","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SOD1","","UBXN2B","","","SRSF11","","WDR62","","","SLC22A15","","TMEM79","",""
"SLC12A8","","","","","","","","","","","","","","TMEM43","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SOD2","","UFD1","","","SRSF2","","WDSUB1","","","SLC23A2","","TMEM87A","",""
"SLC16A1-AS1","","","","","","","","","","","","","","TMEM45B","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SON","","UGDH","","","SRSF3","","WFS1","","","SLC23A3","","TMEM97","",""
"SLC16A6","","","","","","","","","","","","","","TMEM50B","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SORCS1","","UGT2B7","","","SRSF6","","WHRN","","","SLC25A10","","TMPO","",""
"SLC18B1","","","","","","","","","","","","","","TMEM52","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SORD","","UHRF1","","","SRSF7","","WIPI1","","","SLC25A11","","TMPO-AS1","",""
"SLC1A4","","","","","","","","","","","","","","TMEM60","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SOSTDC1","","UHRF2","","","SRXN1","","WNT6","","","SLC25A12","","TMPRSS3","",""
"SLC1A5","","","","","","","","","","","","","","TMEM63A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SOX17","","ULBP1","","","SS18","","WRAP53","","","SLC25A13","","TMSB15A","",""
"SLC22A15","","","","","","","","","","","","","","TMEM68","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SOX2","","ULK1","","","SSB","","WRN","","","SLC25A15","","TMT1A","",""
"SLC23A2","","","","","","","","","","","","","","TMEM79","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SOX5","","UNC119B","","","SSBP1","","WSB1","","","SLC25A24","","TMX1","",""
"SLC23A3","","","","","","","","","","","","","","TMEM87A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SPA17","","UNC13D","","","SSC4D","","WSCD2","","","SLC25A3","","TNC","",""
"SLC25A10","","","","","","","","","","","","","","TMEM97","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SPAG1","","UNC5C","","","SSNA1","","WT1","","","SLC25A34","","TNFAIP8L1","",""
"SLC25A11","","","","","","","","","","","","","","TMPO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SPAG9","","UNG","","","SSUH2","","WT1-AS","","","SLC25A36","","TNFRSF10A","",""
"SLC25A12","","","","","","","","","","","","","","TMPO-AS1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SPATA2","","UPF3A","","","SSX1","","XIAP","","","SLC25A40","","TNFRSF10A-DT","",""
"SLC25A13","","","","","","","","","","","","","","TMPRSS3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SPATS2L","","UPK1A-AS1","","","ST13","","XPNPEP1","","","SLC25A43","","TNFRSF10B","",""
"SLC25A15","","","","","","","","","","","","","","TMSB15A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SPC24","","UQCRB","","","ST14","","XPO1","","","SLC25A5","","TNFRSF12A","",""
"SLC25A24","","","","","","","","","","","","","","TMT1A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SPC25","","UQCRC2","","","ST3GAL4","","XPO5","","","SLC26A11","","TNFRSF19","",""
"SLC25A3","","","","","","","","","","","","","","TMX1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SPCS3","","UQCRFS1","","","ST6GAL2","","XPOT","","","SLC26A7","","TNFRSF9","",""
"SLC25A34","","","","","","","","","","","","","","TNC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SPDL1","","USF1","","","ST6GALNAC3","","XRCC5","","","SLC2A12","","TNIP1","",""
"SLC25A36","","","","","","","","","","","","","","TNFAIP8L1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SPECC1L","","USP14","","","ST8SIA1","","XRCC6","","","SLC2A9","","TNIP2","",""
"SLC25A40","","","","","","","","","","","","","","TNFRSF10A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SPIN3","","USP15","","","ST8SIA4","","XRN2","","","SLC30A6","","TNRC6B","",""
"SLC25A43","","","","","","","","","","","","","","TNFRSF10A-DT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SPIRE1","","USP22","","","STAC","","XXYLT1","","","SLC30A7","","TNS1","",""
"SLC25A5","","","","","","","","","","","","","","TNFRSF10B","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SPIRE2","","USP3","","","STAG1","","YBX3","","","SLC31A1","","TNS3","",""
"SLC26A11","","","","","","","","","","","","","","TNFRSF12A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SPPL2B","","USP35","","","STAG2","","YDJC","","","SLC33A1","","TOM1L1","",""
"SLC26A7","","","","","","","","","","","","","","TNFRSF19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SPSB1","","USP36","","","STARD10","","YIF1A","","","SLC35B2","","TOM1L2","",""
"SLC2A12","","","","","","","","","","","","","","TNFRSF9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SPTLC3","","USP46","","","STARD3","","YIPF5","","","SLC35C2","","TOMM40L","",""
"SLC2A9","","","","","","","","","","","","","","TNIP1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SPTSSB","","USP48","","","STARD4","","YJU2B","","","SLC35E1","","TOMM6","",""
"SLC30A6","","","","","","","","","","","","","","TNIP2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SQLE","","USP5","","","STAT2","","YLPM1","","","SLC35F6","","TOMM70","",""
"SLC30A7","","","","","","","","","","","","","","TNRC6B","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SRC","","USP53","","","STAT5A","","YRDC","","","SLC35G2","","TOP1","",""
"SLC31A1","","","","","","","","","","","","","","TNS1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SRCIN1","","UTP3","","","STEAP3","","YTHDF2","","","SLC38A9","","TOP1MT","",""
"SLC33A1","","","","","","","","","","","","","","TNS3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SRGAP1","","UTRN","","","STIM1","","YWHAE","","","SLC39A10","","TOP2A","",""
"SLC35B2","","","","","","","","","","","","","","TOM1L1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SRI","","UVRAG","","","STIP1","","ZBED2","","","SLC3A2","","TOP2B","",""
"SLC35C2","","","","","","","","","","","","","","TOM1L2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SRP14-DT","","VAMP2","","","STK17B","","ZBED5-AS1","","","SLC41A1","","TOPORS","",""
"SLC35E1","","","","","","","","","","","","","","TOMM40L","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SRSF1","","VANGL1","","","STK24","","ZBTB14","","","SLC43A1","","TOX","",""
"SLC35F6","","","","","","","","","","","","","","TOMM6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SRSF10","","VASP","","","STK32A","","ZBTB21","","","SLC44A2","","TOX2","",""
"SLC35G2","","","","","","","","","","","","","","TOMM70","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SRSF11","","VAV3","","","STK4","","ZBTB5","","","SLC48A1","","TP53BP1","",""
